epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.0638,1.22466,2.10927,1.52172,0.83978,0.76471,0.8224,0.34731,1.37366,1.8336,1.75644,0.000553106,0.000553106,0.000553106
2,180.766,1.07553,1.3598,1.39626,0.80136,0.81413,0.84144,0.63194,1.26193,1.68371,1.59084,0.00110511,0.00110511,0.00110511
3,268.754,1.09522,1.1849,1.38684,0.87888,0.75894,0.82764,0.65113,1.05574,1.14631,1.55281,0.00165345,0.00165345,0.00165345
4,351.981,1.04068,0.99643,1.342,0.92321,0.8721,0.89727,0.67544,1.06289,1.07541,1.35071,0.0016505,0.0016505,0.0016505
5,2839.43,1.02412,0.96517,1.34955,0.95427,0.88262,0.90949,0.71119,1.11644,0.93388,1.46505,0.001645,0.001645,0.001645
6,2923.65,0.9858,0.88605,1.30855,0.9742,0.88153,0.91888,0.74111,1.00967,0.78014,1.36231,0.00163949,0.00163949,0.00163949
7,3006.79,0.95972,0.81739,1.28238,0.98893,0.86683,0.93066,0.74405,0.94461,0.95712,1.21198,0.00163399,0.00163399,0.00163399
8,3089.55,0.96287,0.80332,1.28658,0.95029,0.90368,0.93716,0.77194,0.78908,0.63576,1.15453,0.00162849,0.00162849,0.00162849
9,3173.58,0.89245,0.73739,1.25054,0.96831,0.87858,0.92557,0.76124,0.91253,0.84739,1.25394,0.00162299,0.00162299,0.00162299
10,3258.76,0.89238,0.72496,1.22887,0.97382,0.9142,0.9426,0.77355,0.8175,0.60597,1.16187,0.00161749,0.00161749,0.00161749
11,3352.79,0.87717,0.69603,1.22802,0.97326,0.92063,0.94808,0.78333,0.86651,0.64446,1.20395,0.00161199,0.00161199,0.00161199
12,3440.17,0.84416,0.65149,1.21268,0.94699,0.92473,0.94828,0.76877,0.86063,0.62457,1.20198,0.00160649,0.00160649,0.00160649
13,3521.63,0.88282,0.70055,1.22748,0.96576,0.93789,0.94861,0.76208,0.83133,0.64432,1.16103,0.00160099,0.00160099,0.00160099
14,3607.11,0.85847,0.66862,1.20654,0.96026,0.92736,0.95342,0.77479,0.80171,0.59845,1.1315,0.00159549,0.00159549,0.00159549
15,3690.41,0.80552,0.60356,1.18561,0.95551,0.92736,0.95408,0.78862,0.77807,0.54711,1.12316,0.00158998,0.00158998,0.00158998
16,3776.57,0.83033,0.62572,1.19825,0.9604,0.93703,0.95647,0.79766,0.74786,0.5644,1.1295,0.00158448,0.00158448,0.00158448
17,3859.16,0.83539,0.62574,1.2011,0.99076,0.90105,0.95266,0.76581,0.81017,0.74774,1.1948,0.00157898,0.00157898,0.00157898
18,3940.99,0.83373,0.62051,1.21203,0.95339,0.93262,0.9524,0.79228,0.76129,0.55533,1.12851,0.00157348,0.00157348,0.00157348
19,4022.86,0.79741,0.57315,1.17705,0.97872,0.92774,0.95674,0.79115,0.77025,0.567,1.11,0.00156798,0.00156798,0.00156798
20,4104.35,0.78591,0.57298,1.17136,0.99077,0.91683,0.95231,0.80321,0.72909,0.59233,1.0876,0.00156248,0.00156248,0.00156248
21,4190.32,0.81013,0.58379,1.17955,0.96113,0.92999,0.9557,0.78433,0.77512,0.55492,1.12259,0.00155698,0.00155698,0.00155698
22,4281.17,0.79088,0.56483,1.16678,0.97881,0.93262,0.95883,0.8016,0.75334,0.58676,1.1285,0.00155148,0.00155148,0.00155148
23,4368.87,0.77499,0.5626,1.16234,0.97008,0.94241,0.95978,0.79892,0.70538,0.55547,1.07227,0.00154598,0.00154598,0.00154598
