epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4417,1.14461,1.43446,1.20681,0.94098,0.88634,0.92322,0.7216,0.80945,0.97203,0.9497,0.000553152,0.000553152,0.000553152
2,96.6689,0.97336,0.84746,1.11364,0.92002,0.892,0.9117,0.72855,0.96746,0.91121,1.17353,0.00110516,0.00110516,0.00110516
3,140.092,0.92641,0.75605,1.09463,0.96773,0.89489,0.91485,0.73502,0.85787,0.71881,1.04832,0.0016535,0.0016535,0.0016535
4,182.89,0.92252,0.70001,1.09668,0.96845,0.90266,0.93814,0.75783,0.8242,0.64843,1.01059,0.0016505,0.0016505,0.0016505
5,226.509,0.85369,0.63133,1.06489,0.98428,0.89161,0.9377,0.76969,0.79755,0.54763,1.00236,0.001645,0.001645,0.001645
6,271.366,0.85159,0.59032,1.05498,0.96965,0.89489,0.93213,0.74012,0.78035,0.59908,0.99322,0.00163949,0.00163949,0.00163949
7,317.408,0.80369,0.54815,1.04345,0.9628,0.92857,0.94958,0.76907,0.70541,0.51924,0.96898,0.00163399,0.00163399,0.00163399
8,362.44,0.81351,0.54615,1.04149,0.95355,0.92358,0.94898,0.74306,0.77444,0.48739,0.99574,0.00162849,0.00162849,0.00162849
9,411.402,0.77881,0.52742,1.0343,0.97048,0.90007,0.93995,0.75077,0.75848,0.50113,0.97636,0.00162299,0.00162299,0.00162299
10,459.725,0.78614,0.51652,1.03165,0.97497,0.91561,0.94498,0.79162,0.67855,0.4794,0.94451,0.00161749,0.00161749,0.00161749
11,505.068,0.78005,0.50459,1.03084,0.97318,0.92005,0.94547,0.758,0.74612,0.51637,0.98247,0.00161199,0.00161199,0.00161199
12,548.069,0.75896,0.48984,1.02009,0.94664,0.91523,0.94838,0.79808,0.67769,0.51874,0.97171,0.00160649,0.00160649,0.00160649
13,590.182,0.73786,0.48014,1.01467,0.954,0.92079,0.9484,0.79585,0.66073,0.44877,0.9611,0.00160099,0.00160099,0.00160099
14,633.104,0.73684,0.47059,1.00514,0.96037,0.93116,0.95218,0.80164,0.65293,0.42396,0.93236,0.00159549,0.00159549,0.00159549
15,675.532,0.73217,0.46232,1.01258,0.9644,0.9182,0.94887,0.7494,0.71259,0.4921,0.99464,0.00158998,0.00158998,0.00158998
16,717.922,0.72028,0.45448,1.00727,0.96511,0.92956,0.94987,0.80134,0.67163,0.49014,0.98046,0.00158448,0.00158448,0.00158448
17,760.131,0.70595,0.45702,0.99714,0.96236,0.92446,0.94408,0.77975,0.70137,0.45495,0.97906,0.00157898,0.00157898,0.00157898
18,802.536,0.68983,0.43732,0.99584,0.97797,0.90777,0.94626,0.78489,0.62644,0.48207,0.95849,0.00157348,0.00157348,0.00157348
19,845.493,0.71124,0.45151,1.00162,0.96591,0.92957,0.94362,0.80108,0.65086,0.45086,0.97546,0.00156798,0.00156798,0.00156798
20,887.988,0.689,0.43089,0.98687,0.97269,0.92598,0.94766,0.79355,0.65642,0.44108,0.96221,0.00156248,0.00156248,0.00156248
21,931.199,0.69605,0.42993,0.99625,0.97119,0.94098,0.95516,0.7937,0.66695,0.46001,0.97448,0.00155698,0.00155698,0.00155698
22,973.876,0.67887,0.42172,0.98436,0.97396,0.93375,0.94816,0.78177,0.67992,0.42116,0.98491,0.00155148,0.00155148,0.00155148
23,1017.29,0.67371,0.417,0.98903,0.96769,0.93634,0.95639,0.80199,0.67549,0.43145,0.97548,0.00154598,0.00154598,0.00154598
24,1059.72,0.66695,0.42421,0.98209,0.9679,0.93312,0.95328,0.80692,0.67461,0.44535,0.96444,0.00154047,0.00154047,0.00154047
25,1106.2,0.66958,0.4113,0.97983,0.95708,0.93996,0.94854,0.80593,0.64529,0.42727,0.96588,0.00153497,0.00153497,0.00153497
26,1154.84,0.66934,0.40601,0.98749,0.97183,0.9231,0.95198,0.79767,0.65276,0.45662,0.97747,0.00152947,0.00152947,0.00152947
27,1201.56,0.65409,0.4053,0.97667,0.95604,0.94411,0.95712,0.80322,0.65146,0.42081,0.97115,0.00152397,0.00152397,0.00152397
28,1248.1,0.65977,0.40068,0.98144,0.98176,0.92598,0.95464,0.78219,0.65873,0.42573,0.96223,0.00151847,0.00151847,0.00151847
29,1289.8,0.64847,0.39846,0.97882,0.98248,0.9383,0.95866,0.8034,0.63959,0.43237,0.96312,0.00151297,0.00151297,0.00151297
30,1333.43,0.64757,0.39645,0.98209,0.95516,0.9467,0.95143,0.81022,0.6267,0.40507,0.95418,0.00150747,0.00150747,0.00150747
31,1382.53,0.66009,0.39992,0.98315,0.97822,0.93375,0.95923,0.81283,0.63025,0.37849,0.9591,0.00150197,0.00150197,0.00150197
32,1436.18,0.65129,0.39495,0.97362,0.96715,0.93634,0.95327,0.80036,0.63593,0.44681,0.96283,0.00149647,0.00149647,0.00149647
33,1491.21,0.63774,0.38625,0.97128,0.96262,0.93757,0.95594,0.80417,0.63473,0.39624,0.96181,0.00149096,0.00149096,0.00149096
34,1545.04,0.63708,0.38866,0.96807,0.97786,0.93375,0.95514,0.79947,0.63587,0.389,0.9598,0.00148546,0.00148546,0.00148546
35,1653.32,0.62825,0.37844,0.97018,0.97227,0.93893,0.96007,0.80672,0.64196,0.39628,0.96298,0.00147996,0.00147996,0.00147996
36,1762.07,0.64218,0.38586,0.96718,0.96792,0.94152,0.96557,0.8025,0.64562,0.39206,0.97392,0.00147446,0.00147446,0.00147446
37,1830.25,0.62814,0.3831,0.96578,0.95717,0.95213,0.95832,0.80269,0.62197,0.3777,0.96477,0.00146896,0.00146896,0.00146896
38,1887.25,0.63186,0.38301,0.96806,0.97347,0.94152,0.95795,0.82125,0.62645,0.38551,0.96738,0.00146346,0.00146346,0.00146346
39,1941.12,0.62308,0.37949,0.96682,0.96587,0.94929,0.95589,0.81102,0.61781,0.39507,0.9649,0.00145796,0.00145796,0.00145796
40,1994.78,0.63236,0.37859,0.97172,0.96219,0.93634,0.95484,0.81007,0.62037,0.41414,0.96201,0.00145246,0.00145246,0.00145246
41,2049.62,0.61806,0.36791,0.96151,0.97433,0.94159,0.96038,0.81807,0.60965,0.39427,0.95706,0.00144696,0.00144696,0.00144696
42,2104.71,0.60961,0.3637,0.95587,0.97212,0.94411,0.95713,0.81845,0.62457,0.36093,0.97149,0.00144145,0.00144145,0.00144145
43,2159.46,0.61314,0.36773,0.96186,0.96557,0.94256,0.95288,0.80826,0.66671,0.38714,0.99183,0.00143595,0.00143595,0.00143595
44,2214.11,0.6077,0.36564,0.96085,0.97939,0.94749,0.96236,0.80992,0.63149,0.37761,0.97062,0.00143045,0.00143045,0.00143045
45,2268.85,0.61824,0.36617,0.9639,0.97185,0.94087,0.96017,0.821,0.57689,0.3508,0.94022,0.00142495,0.00142495,0.00142495
46,2323.98,0.6102,0.36129,0.95744,0.96383,0.94453,0.95784,0.81017,0.63699,0.41385,0.97794,0.00141945,0.00141945,0.00141945
47,2378.58,0.60636,0.35822,0.9554,0.96545,0.9405,0.9587,0.82356,0.60696,0.3805,0.94262,0.00141395,0.00141395,0.00141395
48,2433.88,0.59863,0.35171,0.95581,0.97343,0.9467,0.9586,0.82402,0.60787,0.37398,0.96104,0.00140845,0.00140845,0.00140845
49,2488.44,0.59598,0.36277,0.95575,0.97231,0.94447,0.96088,0.81934,0.64039,0.39499,0.96098,0.00140295,0.00140295,0.00140295
50,2542.63,0.59974,0.36202,0.95125,0.98031,0.94608,0.95863,0.80132,0.61329,0.39393,0.96934,0.00139745,0.00139745,0.00139745
51,2594.95,0.60019,0.35787,0.95543,0.97513,0.9467,0.95334,0.80975,0.61438,0.41529,0.96525,0.00139195,0.00139195,0.00139195
52,2650.12,0.59168,0.35119,0.95496,0.97192,0.95447,0.95882,0.81111,0.62858,0.36839,0.97006,0.00138644,0.00138644,0.00138644
53,2702.16,0.59578,0.35832,0.95171,0.96861,0.95059,0.95913,0.81678,0.64973,0.38588,0.98162,0.00138094,0.00138094,0.00138094
54,2756.53,0.59086,0.34707,0.94814,0.96598,0.94929,0.95673,0.81054,0.62635,0.39514,0.96498,0.00137544,0.00137544,0.00137544
55,2809.2,0.58814,0.34394,0.94584,0.96529,0.93375,0.95106,0.81391,0.63997,0.40304,0.97564,0.00136994,0.00136994,0.00136994
56,2861.92,0.58503,0.34793,0.95472,0.96395,0.95223,0.96213,0.80624,0.65794,0.3948,0.99674,0.00136444,0.00136444,0.00136444
57,2916.81,0.59511,0.35096,0.95277,0.95632,0.95965,0.96123,0.80994,0.64939,0.37161,0.99207,0.00135894,0.00135894,0.00135894
58,2974.11,0.58145,0.3455,0.94203,0.96915,0.94308,0.96048,0.81442,0.59352,0.37308,0.94221,0.00135344,0.00135344,0.00135344
59,3030.23,0.5861,0.34553,0.94909,0.96675,0.95203,0.95969,0.81656,0.61003,0.37759,0.96888,0.00134794,0.00134794,0.00134794
60,3085.43,0.58777,0.35285,0.94906,0.97133,0.9467,0.95993,0.82055,0.61426,0.36028,0.9716,0.00134244,0.00134244,0.00134244
